"Value","Percentage","Environmental Process","Environmental Process ID"
19480,86.81999969482422,"Large economic units that did NOT apply wastewater treatment processes generated by their activity",113
2956,13.180000305175781,"Large economic units that applied wastewater treatment processes generated by their activity",114
