"Indicator ID","Indicator","Value","Percentage","Environmental Process ID","Environmental Process"
110,"Main uses of treated water in large economic units",159,0.7086824774742126,44,"Same production process"
110,"Main uses of treated water in large economic units",664,2.959529399871826,45,"Cooling system"
110,"Main uses of treated water in large economic units",479,2.1349616050720215,46,"Gardening and cleaning"
110,"Main uses of treated water in large economic units",1639,7.3052239418029785,47,"Discharge to the public network"
110,"Main uses of treated water in large economic units",15,0.06685683876276016,48,"Other uses of water"
